cluster_id,cluster_size,is_representative,next_action,Bullet Point,Role / Company,Tags,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses,rewrite_status,rewrite_attempts,rewrite_reasoning,context_gaps,rewrite_date,final_bullet
0,1431,False,REWRITE,- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards,Mercor,[generalist],50.0,60.0,70.0,40.0,FAIL,"The bullet is too generic, lacks specific tools or metrics, and reads as a task description rather than an outcome-oriented achievement.",,0,,,,
0,1431,False,REWRITE,"- Evaluated AI-generated sales/marketing outputs against industry benchmarks, improving alignment with best practices.",Mercor,[generalist],40.0,50.0,60.0,40.0,FAIL,"The bullet uses the forbidden filler word 'best-in-class' (implied by 'best practices'), lacks a specific metric or tool, and describes a vague task rather than a concrete outcome or system.",,0,,,,
0,1431,False,REWRITE,"- 2x Top Seller and consistent Top 10 performer, recognized for high-conversion lead generation and creative prospecting campaigns.",Treering Yearbooks,[brand],40.0,50.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives (Top Seller, Top 10 performer) without defining the scope, team size, or specific metrics, and uses generic marketing language that lacks a clear system or infrastructure outcome.",,0,,,,
0,1431,False,REWRITE,"- 2x Top Seller and consistent top 10 performer, recognized for high-conversion lead generation and creative prospecting.",Treering Yearbooks,[brand],40.0,50.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives ('top seller', 'top 10 performer') without providing context, scale, or verifiable metrics. It uses filler language ('recognized for') and lacks a specific system or tool mention, making it generic and unverifiable.",,0,,,,
0,1431,False,REWRITE,- Achieved 2x Top Seller recognition for lead generation success and consistent revenue contributions across client campaigns.,Treering Yearbooks,[email],50.0,60.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives like 'Top Seller' and 'consistent revenue contributions' without providing specific metrics, context, or verifiable data, making it feel like generic resume padding.",,0,,,,
0,1431,False,REWRITE,"- Achieved 62% reply rates on demo request campaigns by employing targeted messaging and strategic drip campaign methodologies, contributing over $1.5M in closed revenue.",Treering Yearbooks,[email],75.0,70.0,85.0,80.0,PASS,"The claim of $1.5M in closed revenue is difficult to attribute solely to reply rates without further context on the sales cycle or attribution model, making it slightly prone to skepticism.",,0,,,,
0,1431,False,REWRITE,- Achieved 74% open rates and 22% reply rates on PTA council campaigns with targeted segmentation and custom-crafted strategies.,Treering Yearbooks,[email],75.0,80.0,85.0,70.0,PASS,"The bullet lacks specific tool mentions (e.g., Mailchimp, HubSpot) and the term 'custom-crafted strategies' is slightly vague filler that could be replaced with a specific methodology.",,0,,,,
0,1431,False,REWRITE,- Achieved 74% open rates and 22% reply rates on specialized PTA council campaigns by integrating best practices in email marketing.,Treering Yearbooks,[email],65.0,60.0,80.0,60.0,FAIL,"The bullet uses the forbidden filler phrase 'best practices in email marketing' and ends with a period, which violates the formatting rules.",,0,,,,
0,1431,False,REWRITE,- Achieved 74% open rates and 22% reply rates on targeted PTA council campaigns by refining personalization tactics.,Treering Yearbooks,[email],75.0,80.0,90.0,70.0,PASS,"The bullet lacks specific tool mentions and the scope of the campaign (number of recipients) is missing, which makes the high percentages harder to contextualize for a hiring manager.",,0,,,,
0,1431,False,REWRITE,"- Achieved a 2.98% engagement rate, nearly 3x industry benchmarks, through strategic territory management and targeted outreach.",Treering Yearbooks,[ops][mgmt],60.0,65.0,70.0,50.0,FAIL,"The bullet uses a vague, comparative metric ('nearly 3x industry benchmarks') which is a red flag for unverifiable claims, and it relies on generic marketing buzzwords like 'strategic territory management' and 'targeted outreach' without naming the tools or systems used.",,0,,,,
0,1431,False,REWRITE,"- Achieved an outstanding “Good Fit” rate, consistently delivering high-quality leads praised for conversion and value.",Treering Yearbooks,[generalist],30.0,40.0,50.0,30.0,FAIL,"The bullet uses vague, subjective superlatives like 'outstanding' and 'high-quality' without providing any concrete metrics, specific tools, or defined systems. It fails the manager test by being generic and lacking verifiable evidence.",,0,,,,
0,1431,False,KEEP,"- Achieved company-first milestone as the top SDR, sourcing $1M+ in revenue and exceeding annual sales goals by 17%.",Treering Yearbooks,[brand],85.0,80.0,95.0,80.0,PASS,,,0,,,,
0,1431,False,REWRITE,"- Achieved success as the first outbound hire to surpass $1M in sourced revenue, exceeding first-year target by 17% through proactive territory management, personalized outreach, and compelling presentations.",Treering Yearbooks,[ops][mgmt],75.0,70.0,85.0,70.0,FAIL,"The bullet uses the forbidden filler word 'success' and relies on vague, subjective descriptors like 'compelling presentations' which are not verifiable.",,0,,,,
0,1431,False,REWRITE,"- Acted as a key player in the platform migration from PersistIQ to Outreach.io, improving daily workflows and streamlining Salesforce integration for better reporting and automation",Treering Yearbooks,[ops][email],65.0,70.0,75.0,80.0,FAIL,"The bullet uses the banned phrase 'Acted as a key player' and relies on vague, subjective claims like 'improving daily workflows' and 'better reporting' without providing specific metrics or concrete evidence of the outcome.",,0,,,,
0,1431,False,REWRITE,- Advised on messaging and content personalization strategies to improve prospect response rates.,Treering Yearbooks,[content],40.0,50.0,60.0,30.0,FAIL,"The bullet uses vague, generic language ('advised on', 'messaging', 'strategies') and lacks any measurable outcome, specific tools, or concrete scope, making it impossible to verify or distinguish from any other candidate.",,0,,,,
0,1431,False,REWRITE,"- Analyzed CRM data to uncover $3M+ in dormant pipeline, reactivating target segments through strategic, market-driven campaigns. Cross-Functional, Data, & Strategic Impact:",Treering Yearbooks,[ops],75.0,70.0,80.0,85.0,FAIL,"The bullet contains a dash in prose ('Data, & Strategic Impact:') and ends with a colon, violating the formatting rules; additionally, the phrase 'strategic, market-driven campaigns' is generic filler.",,0,,,,
0,1431,False,KEEP,"- Architected comprehensive sales enablement content library with 100+ assets (playbooks, guides, templates) adopted company-wide.",Treering Yearbooks,[content][enablement],90.0,95.0,95.0,85.0,PASS,,,0,,,,
0,1431,False,KEEP,"- Architected the company’s first comprehensive sales enablement content library, creating 100+ assets (pitch decks, battlecards, email templates) adopted company-wide.",Treering Yearbooks,[content][enablement],90.0,95.0,95.0,85.0,PASS,,,0,,,,
0,1431,False,KEEP,- Audit Insight: Ran a company CRM audit that identified $3M+ in potential pipeline for redistribution to SDRs,Treering Yearbooks,[ops],85.0,80.0,90.0,85.0,PASS,,,0,,,,
0,1431,False,REWRITE,"- Authored and structured high-performing email marketing campaigns achieving up to 83% open and 43% reply rates, applying UX writing and visual hierarchy principles to improve clarity and engagement.",Treering Yearbooks,[writing][email],65.0,60.0,85.0,70.0,FAIL,"The metrics (83% open, 43% reply) are statistically improbable for standard email marketing without specific context (e.g., list size, audience type, or campaign type), making them appear as inflated vanity metrics rather than verifiable outcomes.",,0,,,,
0,1431,False,REWRITE,"- Authored high-performing, team-wide campaigns with strong QA processes and variable logic for personalization at scale.",Treering Yearbooks,[writing][mgmt],60.0,65.0,70.0,60.0,FAIL,"The bullet uses vague, subjective adjectives like 'high-performing' and 'strong' without providing any concrete metrics or specific tool names to verify the claim.",,0,,,,
0,1431,False,REWRITE,"- Authored team-wide campaigns with logic-driven personalization, leading to better engagement and more confident sends.",Treering Yearbooks,[writing][mgmt],50.0,60.0,60.0,50.0,FAIL,"The bullet uses vague, subjective language ('better engagement', 'more confident sends') without providing specific metrics or tools, and it fails to describe a concrete system or outcome.",,0,,,,
0,1431,False,REWRITE,- Became the first SDR to reach $1M+ in revenue; insights informed broader pipeline strategy and market positioning.,Treering Yearbooks,[ops],75.0,70.0,85.0,70.0,PASS,"The phrase 'insights informed broader pipeline strategy' is slightly vague and borders on corporate-speak, though the primary claim of $1M+ revenue is strong and verifiable.",,0,,,,
