Role / Company,Tags,Bullet Point
Mercor,[content],"- Audited AI-generated sales and marketing content for technical accuracy, ensuring compliance with campaign standards"
Mercor,[writing],"- Audited copy, segmentation, and reporting logic to ensure operational accuracy and campaign readiness."
Mercor,[ops],- Collaborated asynchronously with leadership and subject matter experts to refine training datasets and improve system performance in campaign and territory analysis.
Mercor,[ops],- Collaborated with leadership to refine system prompts and improve training datasets
Mercor,[generalist],- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards
Mercor,[ops][content],"- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards, annotating conversational data to improve content quality."
Mercor,[generalist],"- Evaluated AI-generated sales/marketing outputs against industry benchmarks, improving alignment with best practices."
Mercor,[mgmt],"- Partnered asynchronously with AI product teams to improve workflows, mirroring real-world campaign operations."
Mercor,[ops][mgmt],- Partnered with engineering teams to refine AI algorithms for campaign and territory analysis
Mercor,[ops],"- Partnered with leadership and SMEs to refine training datasets, streamlining QA protocols across campaigns."
Mercor,[content],"- Produced high-quality marketing and sales assets for model input, ensuring real-world technical applicability"
Mercor,[content],- Produced marketing assets aligned with automation logic and system requirements
Mercor,[content][enablement],"- Produced onboarding playbooks, interview guides, and campaign frameworks to support ongoing iteration."
Mercor,[content],"- Produced real-world marketing assets for model input, ensuring representation of high-quality retail and sales scenarios."
Mercor,[ops],"- QA’d AI-generated marketing campaign builds and performance outputs, aligning evaluation criteria with best practices in HubSpot and Salesforce execution."
Mercor,[ops],- Supported calibration of AI decision-making in campaign and territory analysis scenarios
Mercor,[ops],"- Supported calibration of AI decision-making in campaign and territory analysis, reducing system error rates."
Treering Yearbooks,[brand],"- 2x Top Seller and consistent Top 10 performer, recognized for high-conversion lead generation and creative prospecting campaigns."
Treering Yearbooks,[brand],"- 2x Top Seller and consistent top 10 performer, recognized for high-conversion lead generation and creative prospecting."
Treering Yearbooks,[generalist],"- Achieved 2.98% personal engagement rate, nearly triple the 1% industry standard, and 65%+ closing rate."
Treering Yearbooks,[generalist],- Achieved 2x Top Seller recognition for consistently surpassing lead generation and revenue goals in K-12 EdTech and SaaS markets.
Treering Yearbooks,[email],- Achieved 2x Top Seller recognition for lead generation success and consistent revenue contributions across client campaigns.
Treering Yearbooks,[email][ops],"- Achieved 43% reply rates and 83% open rates on sequences, exceeding industry benchmarks by 10x and generating $1M+ in pipeline revenue"
