Role / Company,Tags,Bullet Point,accuracy_score,believability_score,clarity_score,ats_value,manager_test,weaknesses
Mercor,[content],"- Audited AI-generated sales and marketing content for technical accuracy, ensuring compliance with campaign standards",70.0,85.0,80.0,65.0,PASS,The bullet is somewhat generic and lacks a specific metric or tool mention to demonstrate the scale of the audit or the impact of the compliance efforts.
Mercor,[writing],"- Audited copy, segmentation, and reporting logic to ensure operational accuracy and campaign readiness.",60.0,70.0,65.0,50.0,FAIL,"The bullet is too generic and reads as a task description rather than an outcome-oriented statement; it lacks specific tools, metrics, or a defined scope of impact."
Mercor,[ops],- Collaborated asynchronously with leadership and subject matter experts to refine training datasets and improve system performance in campaign and territory analysis.,60.0,65.0,60.0,50.0,FAIL,"The bullet uses the banned phrase 'Collaborated with' and relies on vague, corporate-speak terminology like 'refine training datasets' and 'improve system performance' without specifying the tools, the nature of the datasets, or the actual outcome of the analysis."
Mercor,[ops],- Collaborated with leadership to refine system prompts and improve training datasets,50.0,60.0,60.0,50.0,FAIL,"The bullet uses the banned phrase 'Collaborated with' and is too vague regarding the actual system, the scale of the training data, or the measurable outcome of the refinement."
Mercor,[generalist],- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards,50.0,60.0,70.0,40.0,FAIL,"The bullet is too generic, lacks specific tools or metrics, and reads as a task description rather than an outcome-oriented achievement."
Mercor,[ops][content],"- Evaluated AI-generated sales and marketing outputs for accuracy and alignment with industry standards, annotating conversational data to improve content quality.",75.0,80.0,85.0,70.0,PASS,"The bullet is slightly generic and lacks a specific metric or tool name to ground the 'accuracy' and 'content quality' claims, making it feel like a task description rather than a high-impact outcome."
Mercor,[generalist],"- Evaluated AI-generated sales/marketing outputs against industry benchmarks, improving alignment with best practices.",40.0,50.0,60.0,40.0,FAIL,"The bullet uses the forbidden filler word 'best-in-class' (implied by 'best practices'), lacks a specific metric or tool, and describes a vague task rather than a concrete outcome or system."
Mercor,[mgmt],"- Partnered asynchronously with AI product teams to improve workflows, mirroring real-world campaign operations.",50.0,60.0,55.0,40.0,FAIL,The bullet uses the banned phrase 'Partnered with' and is too vague to demonstrate a specific outcome or system; it reads as a task description rather than an achievement.
Mercor,[ops][mgmt],- Partnered with engineering teams to refine AI algorithms for campaign and territory analysis,60.0,65.0,70.0,60.0,FAIL,"The bullet uses the banned phrase 'Partnered with', which is a common filler for 'helped with' or 'worked on', and it lacks specific metrics, tools, or tangible outcomes to verify the claim."
Mercor,[ops],"- Partnered with leadership and SMEs to refine training datasets, streamlining QA protocols across campaigns.",65.0,70.0,75.0,60.0,FAIL,"The bullet uses the banned phrase 'Partnered with' and relies on vague corporate terminology like 'refine training datasets' and 'streamlining QA protocols' without specifying the tools, the scale of the datasets, or the actual outcome of the streamlining."
Mercor,[content],"- Produced high-quality marketing and sales assets for model input, ensuring real-world technical applicability",40.0,50.0,40.0,30.0,FAIL,"The bullet uses vague, subjective language ('high-quality'), lacks specific tools or metrics, and describes a task rather than a measurable outcome or system."
Mercor,[content],- Produced marketing assets aligned with automation logic and system requirements,50.0,60.0,50.0,40.0,FAIL,"The bullet is overly generic, lacks specific metrics or tools, and reads as a task description rather than an outcome-oriented achievement."
Mercor,[content][enablement],"- Produced onboarding playbooks, interview guides, and campaign frameworks to support ongoing iteration.",70.0,80.0,75.0,65.0,PASS,"The bullet is functional but generic; it lacks specific metrics, tool mentions, or a clear sense of scale, making it difficult to distinguish the candidate's impact from standard job expectations."
Mercor,[content],"- Produced real-world marketing assets for model input, ensuring representation of high-quality retail and sales scenarios.",40.0,50.0,50.0,30.0,FAIL,"The bullet is vague, lacks specific metrics or tools, and uses generic language that fails to describe a concrete outcome or system."
Mercor,[ops],"- QA’d AI-generated marketing campaign builds and performance outputs, aligning evaluation criteria with best practices in HubSpot and Salesforce execution.",70.0,75.0,70.0,80.0,FAIL,The bullet uses the forbidden filler phrase 'best practices' and reads as a task description rather than an outcome-oriented statement.
Mercor,[ops],- Supported calibration of AI decision-making in campaign and territory analysis scenarios,40.0,50.0,40.0,30.0,FAIL,"The bullet uses the banned phrase 'Supported', is overly vague regarding the actual work performed, lacks specific tools or metrics, and reads as a task description rather than an outcome."
Mercor,[ops],"- Supported calibration of AI decision-making in campaign and territory analysis, reducing system error rates.",50.0,60.0,55.0,60.0,FAIL,"The bullet uses the banned phrase 'Supported' and is overly vague regarding the 'AI decision-making' system, the specific error rate reduction, and the actual methodology used."
Treering Yearbooks,[brand],"- 2x Top Seller and consistent Top 10 performer, recognized for high-conversion lead generation and creative prospecting campaigns.",40.0,50.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives (Top Seller, Top 10 performer) without defining the scope, team size, or specific metrics, and uses generic marketing language that lacks a clear system or infrastructure outcome."
Treering Yearbooks,[brand],"- 2x Top Seller and consistent top 10 performer, recognized for high-conversion lead generation and creative prospecting.",40.0,50.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives ('top seller', 'top 10 performer') without providing context, scale, or verifiable metrics. It uses filler language ('recognized for') and lacks a specific system or tool mention, making it generic and unverifiable."
Treering Yearbooks,[generalist],"- Achieved 2.98% personal engagement rate, nearly triple the 1% industry standard, and 65%+ closing rate.",50.0,55.0,70.0,40.0,FAIL,"The bullet uses a banned phrase structure (nearly triple), lacks context for the metrics (what is the sample size or channel?), and relies on unverifiable superlatives without anchoring the data to a specific system or scope."
Treering Yearbooks,[generalist],- Achieved 2x Top Seller recognition for consistently surpassing lead generation and revenue goals in K-12 EdTech and SaaS markets.,60.0,65.0,80.0,70.0,FAIL,"The bullet relies on vague superlatives like 'consistently surpassing' without providing specific metrics or evidence, and 'Top Seller recognition' is an unverifiable internal award that lacks context or scale."
Treering Yearbooks,[email],- Achieved 2x Top Seller recognition for lead generation success and consistent revenue contributions across client campaigns.,50.0,60.0,70.0,40.0,FAIL,"The bullet relies on vague superlatives like 'Top Seller' and 'consistent revenue contributions' without providing specific metrics, context, or verifiable data, making it feel like generic resume padding."
Treering Yearbooks,[email][ops],"- Achieved 43% reply rates and 83% open rates on sequences, exceeding industry benchmarks by 10x and generating $1M+ in pipeline revenue",60.0,65.0,85.0,80.0,FAIL,"The claim of exceeding industry benchmarks by 10x is statistically implausible and lacks the necessary context (audience size, sequence type, or tool) to make it believable, triggering the hard fail for unverifiable claims."
Treering Yearbooks,[email],"- Achieved 62% reply rates on demo request campaigns by employing targeted messaging and strategic drip campaign methodologies, contributing over $1.5M in closed revenue.",75.0,70.0,85.0,80.0,PASS,"The claim of $1.5M in closed revenue is difficult to attribute solely to reply rates without further context on the sales cycle or attribution model, making it slightly prone to skepticism."
